,ID,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,NumWebVisitsMonth,Complain,Response,Amount,TotalPurchases,Age,Years_Since_Registration,Cluster_labels
311,2826,Graduation,Married,22574.0,2,1,28,7,0,0,37,7,57,10.220396988364135,Low
313,6320,Master,Single,70893.0,0,0,42,3,0,0,1508,23,48,10.625598904859686,High
314,3050,Graduation,Married,54198.0,1,1,13,4,0,0,235,16,58,10.08350444900753,High
315,231,Master,Together,28839.0,1,1,86,5,0,0,32,7,68,9.204654346338124,Average
316,2392,Graduation,Married,40321.0,1,1,59,7,0,0,102,8,52,10.469541409993155,High
317,9478,Graduation,Single,66503.0,1,0,30,3,0,0,401,15,39,11.425051334702259,High
318,113,Graduation,Married,30833.0,1,1,33,5,0,0,28,6,73,10.505133470225873,Low
320,1802,Graduation,Married,64795.0,0,1,23,2,0,0,680,21,53,10.99794661190965,High
321,520,Graduation,Married,34421.0,1,0,81,7,0,0,30,4,50,11.025325119780971,Average
322,8275,PhD,Divorced,47025.0,1,1,6,7,0,0,20,4,59,9.374401095140314,Average
323,9750,PhD,Divorced,64325.0,0,1,41,7,0,0,1307,23,63,10.543463381245722,Average
324,2607,Graduation,Single,40464.0,0,1,78,8,0,0,630,24,71,10.209445585215606,Low
325,7214,Graduation,Married,62187.0,0,0,49,3,0,0,1283,18,67,10.69678302532512,Low
326,5835,PhD,Divorced,14849.0,1,0,39,8,0,0,65,9,48,10.940451745379876,Low
327,3896,Graduation,Married,27255.0,1,0,3,7,0,0,37,5,40,10.518822724161533,High
328,10350,PhD,Married,54432.0,2,1,37,4,0,0,38,5,74,10.365503080082135,Average
329,7786,PhD,Single,29999.0,1,0,22,8,0,0,160,12,38,10.924024640657084,Low
330,2861,Graduation,Single,24072.0,1,0,79,8,0,0,23,4,41,10.754277891854894,Average
331,663,PhD,Single,33996.0,0,0,46,4,0,0,71,6,35,10.18754277891855,High
332,10675,PhD,Married,66334.0,0,1,82,5,0,1,1161,19,68,10.872005475701574,High
333,2521,Master,Married,35178.0,1,0,10,7,0,1,59,5,53,10.294318959616701,Average
334,9592,Graduation,Together,22010.0,1,0,51,8,0,0,33,7,41,10.548939082819986,Average
335,10151,Graduation,Divorced,62204.0,0,2,38,3,0,0,946,22,64,11.104722792607802,Average
336,7381,Graduation,Divorced,75693.0,0,0,10,4,0,1,1442,22,56,11.597535934291582,Average
337,4099,Graduation,Married,30675.0,1,0,14,8,0,0,62,5,52,11.099247091033538,Low
338,9560,Graduation,Together,83003.0,0,0,18,3,0,1,1674,22,59,10.874743326488707,High
339,1150,PhD,Together,83532.0,0,0,36,1,0,0,1853,15,125,10.30800821355236,Low
340,10172,Graduation,Single,68655.0,0,0,95,3,0,0,1538,21,36,11.274469541409994,Average
341,11191,Graduation,Divorced,41411.0,0,0,11,6,0,0,139,8,38,10.516084873374401,Average
342,9707,PhD,Married,55212.0,0,1,65,8,0,0,1182,20,55,11.148528405201917,Low
343,6245,PhD,Together,59292.0,0,1,71,3,0,0,507,18,74,10.595482546201232,Average
344,8234,Basic,Together,27190.0,1,0,13,8,0,1,18,4,51,10.42299794661191,Low
345,1411,Graduation,Divorced,82623.0,0,0,58,1,0,0,940,16,72,10.26694045174538,High
346,8553,Graduation,Married,44300.0,1,1,65,6,0,0,42,6,59,10.568104038329912,High
347,1826,Graduation,Divorced,84835.0,0,0,0,1,0,1,1190,15,54,9.587953456536619,Low
348,8842,Graduation,Widow,30372.0,1,1,33,7,0,0,44,8,53,11.06091718001369,Low
349,11030,Master,Married,33181.0,1,0,90,6,0,0,16,4,48,9.880903490759753,Average
350,2579,Graduation,Married,71113.0,0,1,95,4,0,0,835,26,67,10.08350444900753,High
351,175,Graduation,Married,71952.0,1,0,93,4,0,0,1443,22,38,10.294318959616701,Average
352,9185,PhD,Single,69759.0,0,0,38,3,0,1,1029,18,58,10.220396988364135,Low
353,11056,Graduation,Married,72099.0,0,0,18,1,0,0,1188,18,50,11.222450376454484,High
354,9365,PhD,Single,60000.0,0,1,57,6,0,0,1277,24,48,11.069130732375086,Low
355,6201,Graduation,Single,38643.0,1,1,45,7,1,0,49,7,46,10.132785763175907,High
356,2061,Graduation,Married,50737.0,0,1,61,6,0,0,99,7,69,10.198494182067078,Average
357,6184,PhD,Married,68462.0,0,0,6,1,0,0,1670,15,55,11.096509240246407,High
358,6142,Master,Married,65073.0,0,0,65,2,1,0,900,14,81,10.40930869267625,Low
359,4107,PhD,Together,46681.0,0,2,52,5,0,0,425,16,76,10.43668720054757,High
360,7274,Graduation,Married,78618.0,0,0,87,2,0,0,2153,22,67,11.301848049281315,High
361,9336,PhD,Widow,62187.0,0,1,38,4,0,0,636,21,55,9.82340862422998,Average
362,2958,Graduation,Married,28442.0,2,0,53,4,0,0,57,10,46,9.894592744695414,High
363,933,PhD,Married,37717.0,1,0,31,9,0,0,25,4,46,11.148528405201917,High
364,5837,Graduation,Married,51479.0,1,1,67,7,0,0,494,22,57,11.052703627652292,High
365,10704,Graduation,Single,54803.0,0,1,65,4,0,0,693,19,55,11.405886379192333,High
366,5125,Graduation,Married,79530.0,0,0,64,2,0,0,1348,26,64,10.669404517453799,High
367,4432,Graduation,Divorced,31615.0,1,0,82,7,0,0,51,7,48,10.839151266255989,High
368,5955,Graduation,Together,72025.0,0,0,27,3,0,0,1932,16,62,11.16495550992471,High
369,2928,PhD,Single,52614.0,0,1,63,8,0,0,990,16,49,12.013689253935661,Low
370,5680,2n Cycle,Married,35684.0,1,0,66,6,0,0,30,5,40,9.738535249828884,Average
371,10313,Graduation,Married,48178.0,1,1,69,8,0,0,254,16,49,11.219712525667351,High
372,2557,Master,Single,29548.0,1,0,52,4,0,0,29,5,54,10.38466803559206,Average
373,1245,Graduation,Single,63810.0,0,1,45,8,0,0,1371,23,58,11.181382614647502,Average
374,1519,PhD,Single,38578.0,1,1,2,8,0,1,73,9,52,10.570841889117043,Low
375,10703,Master,Single,46098.0,1,1,86,8,0,0,120,11,49,11.41409993155373,Average
376,1726,Graduation,Single,22585.0,0,0,23,9,0,1,81,5,54,10.833675564681725,Low
377,4459,Graduation,Single,30279.0,1,0,13,8,0,0,37,5,35,11.047227926078028,Average
378,1729,PhD,Together,66426.0,0,1,14,6,0,0,1377,20,63,10.932238193018481,Average
379,1517,Graduation,Single,30822.0,1,0,92,7,0,0,51,5,55,10.5927446954141,Low
380,2098,PhD,Married,33581.0,2,0,38,8,0,0,17,4,55,10.461327857631758,High
381,9543,Graduation,Married,19986.0,1,0,74,7,0,0,22,4,39,10.173853524982889,High
382,6878,Graduation,Widow,27421.0,0,0,14,7,0,0,324,14,70,11.096509240246407,High
383,3310,2n Cycle,Married,35688.0,2,1,94,8,0,0,211,16,51,11.403148528405202,High
384,2724,Master,Single,36143.0,1,0,33,3,0,0,19,4,43,9.801505817932922,Average
385,948,Graduation,Single,10245.0,1,0,32,5,0,0,41,8,53,10.674880219028063,Low
386,6720,Master,Together,43795.0,0,1,11,7,0,1,492,17,56,10.25325119780972,High
387,6202,Graduation,Together,63381.0,0,1,78,2,0,0,1005,26,64,11.68788501026694,Low
388,2066,Graduation,Together,38823.0,0,1,56,6,0,0,114,7,75,11.381245722108146,Low
389,9799,PhD,Divorced,83664.0,1,1,57,5,0,0,1173,19,56,10.45037645448323,High
390,8318,Graduation,Together,90300.0,0,0,7,1,0,0,1738,19,45,9.880903490759753,Average
391,5642,Master,Together,62499.0,1,0,0,4,0,0,222,12,45,10.346338124572211,High
392,2669,Graduation,Single,74293.0,0,0,66,2,0,0,1127,16,31,9.78507871321013,Low
393,455,PhD,Married,51012.0,0,0,86,6,0,0,209,10,78,10.74880219028063,High
394,7683,Master,Married,70777.0,0,1,80,3,0,0,787,23,56,9.891854893908283,Low
395,3428,PhD,Together,68682.0,0,0,56,2,0,0,1598,24,33,10.603696098562628,Average
396,7414,Graduation,Married,43824.0,1,1,18,8,0,0,186,12,53,11.33744010951403,Low
397,6354,Graduation,Together,15345.0,1,0,51,8,0,1,47,6,40,11.378507871321013,Average
398,798,Graduation,Single,23442.0,1,0,71,7,0,0,27,5,37,11.063655030800822,Average
399,8213,2n Cycle,Together,14515.0,1,0,71,7,0,1,96,11,44,11.34839151266256,High
400,2488,2n Cycle,Divorced,31395.0,1,1,80,6,0,0,64,10,68,10.819986310746064,Average
401,9999,Graduation,Together,75276.0,0,0,2,5,0,0,1040,23,59,11.304585900068446,Average
402,7617,Graduation,Single,42373.0,1,1,83,5,0,0,163,13,50,10.42299794661191,Low
403,615,Graduation,Together,30507.0,0,0,29,7,0,0,343,11,64,10.203969883641342,High
404,2552,PhD,Single,55521.0,1,2,11,7,0,1,446,24,69,10.236824093086927,High
405,194,Graduation,Married,48006.0,1,1,55,6,0,0,41,5,59,9.363449691991786,High
406,3645,PhD,Single,27213.0,1,0,19,8,0,1,70,9,52,11.381245722108146,Average
407,8890,PhD,Divorced,65808.0,1,1,1,6,0,0,272,14,53,9.634496919917865,Average
408,5049,PhD,Together,30351.0,1,0,19,9,0,0,46,6,50,10.614647501711156,Low
409,9973,Graduation,Married,50437.0,0,2,28,7,0,0,490,19,61,11.249828884325805,Average
410,7301,2n Cycle,Single,23616.0,1,0,76,8,0,1,79,8,42,11.16495550992471,Average
411,10882,Graduation,Married,53858.0,0,1,50,4,0,0,915,17,48,11.34839151266256,High
412,7030,PhD,Married,66465.0,0,1,1,6,0,0,1485,35,69,10.80082135523614,Low
413,7422,Graduation,Single,46923.0,1,0,90,7,0,0,369,16,37,11.403148528405202,Average
414,3523,Graduation,Together,75072.0,0,1,83,3,0,0,1073,19,62,10.981519507186858,Low
415,7106,PhD,Married,75865.0,0,0,73,1,0,0,1242,19,81,9.79876796714579,Average
416,6504,2n Cycle,Together,19789.0,1,0,24,5,0,0,78,9,49,10.157426420260096,Average
417,5067,Graduation,Together,80134.0,0,0,11,5,0,0,1378,21,30,9.921971252566735,High
418,4216,Graduation,Single,91065.0,0,0,33,3,0,1,1474,26,43,10.899383983572895,Low
419,8581,Master,Married,49505.0,1,1,4,8,0,0,751,29,53,10.707734428473648,Average
420,5929,PhD,Married,37401.0,1,0,14,7,0,0,48,7,51,9.618069815195073,Low
421,3129,Graduation,Married,30096.0,1,0,30,6,0,0,45,6,41,9.656399726214921,High
422,6528,Master,Together,18492.0,1,0,75,8,0,0,10,4,42,9.700205338809035,High
423,1361,Master,Married,82584.0,0,0,26,1,0,1,1435,16,50,10.781656399726215,High
424,6932,PhD,Married,93027.0,0,0,77,2,0,0,2119,22,83,10.76249144421629,Low
425,7284,Graduation,Married,48686.0,1,2,8,8,0,0,20,4,71,10.765229295003422,High
426,1340,Graduation,Married,92910.0,0,0,42,1,0,0,1795,27,38,9.73305954825462,High
427,8746,Graduation,Married,75433.0,1,0,28,6,0,0,1188,19,35,9.705681040383299,High
428,5987,2n Cycle,Together,10404.0,1,0,52,5,0,0,43,7,35,9.78507871321013,High
429,3767,Graduation,Married,61314.0,0,1,1,3,0,0,1008,24,56,10.729637234770705,Low
430,3725,PhD,Single,84865.0,0,0,1,4,0,1,1688,16,63,10.365503080082135,Average
431,4324,Graduation,Married,42387.0,1,0,42,8,0,0,684,21,35,11.21697467488022,High
432,238,2n Cycle,Together,67309.0,1,1,76,7,0,0,1082,39,57,10.981519507186858,Low
433,6694,Graduation,Married,75236.0,0,1,27,4,0,0,1068,25,60,10.143737166324435,Low
434,498,Graduation,Single,30015.0,1,0,28,5,0,0,57,7,54,9.95482546201232,Low
435,9347,Master,Together,50943.0,0,1,49,5,0,0,46,5,68,10.573579739904176,High
436,9699,Graduation,Divorced,67272.0,0,1,12,5,0,0,733,23,58,10.072553045859001,Average
437,10664,Master,Widow,51529.0,0,1,14,8,0,0,467,17,75,10.524298425735797,Average
438,5455,PhD,Married,32011.0,1,0,89,7,0,0,122,10,53,10.403832991101986,High
439,456,2n Cycle,Married,7500.0,1,0,96,8,0,0,36,7,38,10.543463381245722,Average
440,5012,Graduation,Married,28691.0,1,0,56,8,0,0,34,5,35,10.778918548939084,Low
441,7495,PhD,Married,56223.0,0,1,72,4,0,0,156,10,76,10.075290896646132,Low
442,5029,Graduation,Married,18100.0,0,0,14,5,0,0,14,4,78,10.609171800136892,Average
443,10642,Graduation,Single,30279.0,1,0,13,8,0,0,37,5,35,11.047227926078028,Low
444,2106,2n Cycle,Married,20130.0,0,0,99,8,0,0,34,5,50,9.83709787816564,Average
445,10364,Graduation,Divorced,23295.0,0,0,72,8,0,0,20,4,65,10.513347022587268,Low
446,5954,Master,Divorced,42618.0,1,0,92,8,0,0,192,11,52,10.351813826146476,Average
447,1137,Graduation,Single,81246.0,0,0,87,1,0,0,1379,17,60,10.050650239561945,High
448,2541,Graduation,Married,24027.0,1,0,7,8,0,0,48,7,48,10.362765229295004,Average
449,1142,PhD,Married,55707.0,0,1,91,3,0,0,428,16,71,10.069815195071868,Average
450,2276,Graduation,Single,57959.0,0,1,71,3,0,0,868,27,69,10.94592744695414,High
451,2807,Graduation,Married,56796.0,0,1,24,7,0,0,1001,27,55,10.915811088295689,Low
452,6471,Master,Single,36230.0,1,0,17,5,0,0,59,7,53,10.250513347022586,Low
453,6131,2n Cycle,Married,70829.0,1,1,87,3,0,0,431,16,44,11.011635865845312,Low
454,6233,Graduation,Married,65991.0,0,1,21,7,0,0,971,27,48,11.523613963039015,High
455,4148,Graduation,Married,38988.0,1,2,90,8,0,0,348,19,52,11.408624229979466,Low
456,4947,2n Cycle,Single,89572.0,0,0,44,4,0,1,2059,24,58,11.33744010951403,High
457,3225,Master,Married,42207.0,1,0,71,6,0,1,265,14,40,11.033538672142368,High
458,7540,Graduation,Married,50300.0,0,1,52,2,0,0,270,13,72,9.648186173853524,Low
459,10648,2n Cycle,Together,66664.0,0,0,78,3,0,0,1289,19,42,11.31006160164271,Low
460,1992,Graduation,Married,60597.0,0,1,2,7,0,1,893,16,60,10.042436687200547,Low
461,7851,Graduation,Widow,70165.0,0,0,60,1,0,0,926,22,75,10.318959616700889,Low
462,8594,PhD,Widow,50520.0,0,1,25,6,0,0,135,9,66,9.96851471594798,Low
463,7059,Graduation,Married,80124.0,0,0,47,1,0,0,1495,19,61,9.560574948665298,High
464,2815,Graduation,Married,33183.0,1,0,46,7,0,0,120,9,49,9.894592744695414,High
465,2416,PhD,Single,66582.0,0,0,83,1,0,0,1288,20,55,9.875427789185489,High
466,7999,PhD,Together,75261.0,0,0,17,2,0,1,1743,17,69,10.735112936344969,Low
467,9213,Graduation,Widow,31880.0,1,0,13,8,0,0,15,4,54,11.211498973305956,Average
468,9697,Graduation,Married,53790.0,0,2,86,6,0,0,542,20,73,9.623545516769337,Average
469,3916,PhD,Together,49269.0,1,0,92,7,0,0,890,25,53,11.422313483915127,Average
470,2021,Graduation,Married,61456.0,0,1,47,4,0,0,1388,33,49,10.809034907597535,Low
471,1581,Graduation,Married,37406.0,1,0,18,8,0,1,17,4,44,10.269678302532512,High
472,564,PhD,Together,56937.0,1,0,81,6,0,1,906,30,43,11.775496235455167,High
473,6619,Graduation,Married,38415.0,1,1,91,7,0,0,44,6,46,10.956878850102669,Average
474,9081,Graduation,Single,20518.0,1,0,58,5,0,0,25,5,36,9.66735112936345,Low
475,178,Graduation,Married,62503.0,0,1,40,5,0,0,973,26,68,10.910335386721425,Average
476,916,PhD,Single,41644.0,1,1,67,3,0,0,31,6,52,9.366187542778919,Low
477,5512,Master,Married,55842.0,0,1,19,5,0,0,518,17,47,9.653661875427789,Low
478,8970,PhD,Married,62010.0,0,1,93,5,0,0,530,19,52,11.233401779603012,Low
479,10581,Graduation,Married,41124.0,1,0,41,8,0,0,506,21,47,11.211498973305956,Low
480,5300,Master,Married,38961.0,1,0,60,7,0,0,70,6,51,10.047912388774812,Average
481,5154,Master,Divorced,37760.0,1,0,54,6,0,0,54,6,52,10.190280629705681,Average
482,8346,Graduation,Single,32233.0,1,0,26,9,0,1,296,12,50,11.411362080766597,Average
483,1676,Graduation,Married,43057.0,0,1,30,5,0,0,266,15,49,10.21492128678987,High
484,9286,Master,Together,83151.0,0,0,93,3,0,0,747,19,64,11.268993839835728,Low
485,2426,PhD,Divorced,78825.0,0,0,35,3,0,1,895,29,60,11.340177960301164,High
486,5172,Master,Together,65104.0,0,1,4,7,0,0,1053,17,48,10.173853524982889,Average
487,5562,Graduation,Married,60093.0,0,1,92,6,0,0,735,21,50,10.559890485968515,Low
488,3436,Graduation,Married,14045.0,1,0,24,7,0,0,20,5,55,9.973990417522245,Low
489,3921,2n Cycle,Widow,28457.0,0,0,96,8,0,0,205,10,72,11.219712525667351,Average
490,3403,PhD,Together,78952.0,0,1,11,6,0,0,2092,21,66,11.312799452429843,Average
491,22,Graduation,Divorced,46310.0,1,0,99,8,0,0,309,14,48,11.849418206707734,High
492,10965,Graduation,Together,76005.0,0,0,72,6,0,0,1722,22,69,10.899383983572895,Low
493,9426,Master,Single,58308.0,0,1,77,8,0,0,900,15,60,10.127310061601642,Low
494,6605,PhD,Divorced,55614.0,0,0,85,7,0,0,682,20,80,10.13826146475017,Low
495,3136,Master,Divorced,59432.0,0,1,88,5,0,0,663,22,62,10.76249144421629,Low
496,8737,Graduation,Divorced,55563.0,0,1,22,3,0,0,43,6,46,9.705681040383299,Average
497,11088,PhD,Together,78642.0,0,1,83,6,0,0,1816,18,53,10.740588637919233,Low
498,716,PhD,Together,67911.0,0,1,63,3,0,0,976,27,75,9.656399726214921,Average
499,466,Graduation,Married,65275.0,0,0,9,2,0,0,746,21,80,10.872005475701574,High
500,9135,Graduation,Together,27203.0,1,1,92,8,0,0,64,6,74,11.60848733744011,High
501,10623,Master,Together,48330.0,0,1,2,5,0,0,32,5,63,10.171115674195756,Average
502,8151,Basic,Married,24279.0,0,0,6,8,0,0,263,9,34,11.049965776865161,Average
503,5140,PhD,Married,64355.0,1,0,66,8,0,0,1445,21,39,11.397672826830938,High
504,10160,Master,Together,50943.0,0,1,49,5,0,0,46,5,68,10.573579739904176,Average
505,4945,Graduation,Widow,53653.0,0,0,29,6,0,0,1210,28,71,11.51813826146475,Low
506,10584,Graduation,Married,65665.0,0,1,77,3,0,0,945,24,48,10.926762491444217,Average
507,6071,Graduation,Single,81217.0,0,0,77,1,0,0,1157,22,35,10.496919917864476,High
508,3386,Graduation,Married,34935.0,0,0,71,7,0,0,137,8,32,10.573579739904176,High
509,8939,Graduation,Divorced,61250.0,0,1,49,5,0,0,730,25,65,11.085557837097879,Average
510,9925,PhD,Together,39665.0,1,0,97,7,0,0,216,12,43,10.647501711156742,Low
511,4320,Graduation,Single,60152.0,0,1,6,3,0,0,943,23,45,10.806297056810404,Low
512,5389,Graduation,Married,48920.0,0,2,93,7,0,0,347,16,60,10.242299794661191,Low
513,6036,Master,Together,89120.0,0,0,78,1,0,0,1924,19,65,9.83709787816564,Low
514,182,PhD,Together,44124.0,0,1,62,8,0,0,397,17,78,10.198494182067078,Average
515,203,Master,Single,81169.0,0,0,47,2,0,0,2089,22,49,10.759753593429158,Low
516,11025,Graduation,Married,36443.0,1,1,9,8,0,0,138,11,63,10.877481177275838,Average
517,10203,Graduation,Single,26095.0,1,0,77,7,0,0,42,5,34,10.548939082819986,High
518,4607,Graduation,Together,71367.0,0,0,24,2,0,0,777,17,65,10.401095140314853,Low
519,3711,Master,Married,80184.0,0,0,19,3,0,0,1902,20,80,10.036960985626283,Low
520,3696,Graduation,Divorced,30630.0,1,1,67,7,0,0,52,7,59,9.971252566735114,Average
521,2532,Master,Single,73454.0,0,0,95,5,0,0,1651,13,37,10.036960985626283,Low
522,9214,Graduation,Married,42691.0,0,0,48,5,0,0,358,13,33,10.420260095824778,High
523,4943,Graduation,Married,70503.0,0,0,73,6,0,0,1727,16,71,11.29637234770705,High
524,35,Graduation,Married,25545.0,1,0,35,6,0,1,210,10,37,11.43874058863792,Low
525,2258,Graduation,Married,32880.0,1,0,76,8,0,0,42,5,38,11.764544832306639,Low
526,4322,PhD,Together,77863.0,0,0,20,2,0,0,1291,20,66,10.13826146475017,Average
527,713,Master,Married,50353.0,0,0,72,3,0,0,442,15,47,9.44832306639288,Low
528,4702,Graduation,Single,61839.0,0,0,20,8,0,0,1895,17,60,11.107460643394935,High
529,3281,PhD,Married,49154.0,1,1,69,6,0,0,411,19,64,10.85284052019165,Average
530,702,2n Cycle,Widow,47682.0,0,1,80,5,0,0,521,19,49,10.91854893908282,Low
531,2004,Graduation,Single,72679.0,0,1,65,1,0,0,1168,17,55,10.329911019849419,High
532,4769,Master,Together,57954.0,1,1,52,7,0,0,493,23,47,9.582477754962355,High
533,4437,Graduation,Married,65316.0,1,1,65,4,0,0,260,12,62,10.732375085557837,High
534,8724,Graduation,Single,28567.0,1,0,57,6,0,0,46,7,42,10.584531143052704,High
535,10741,Master,Together,47352.0,0,1,70,7,0,0,319,16,73,10.20123203285421,Low
536,1991,Graduation,Together,44931.0,0,1,0,5,0,0,96,7,57,9.995893223819301,High
537,6931,Graduation,Divorced,76982.0,0,0,19,4,0,1,1062,16,57,9.919233401779604,Average
538,11096,2n Cycle,Together,57247.0,0,1,50,2,0,0,232,12,72,10.442162902121835,Low
539,304,Master,Single,22944.0,1,0,67,7,0,0,76,9,43,10.067077344284737,Low
540,3665,2n Cycle,Together,25315.0,1,0,46,8,0,0,54,9,47,10.518822724161533,Average
541,10591,Graduation,Widow,43638.0,0,1,37,7,0,0,201,11,55,11.60848733744011,High
542,5036,PhD,Single,42710.0,1,0,38,6,0,0,406,14,40,11.134839151266256,Average
543,5547,PhD,Married,84169.0,0,0,9,3,0,1,1919,20,42,10.52703627652293,High
544,7822,Graduation,Together,54058.0,0,1,56,3,0,0,662,20,48,10.781656399726215,Average
545,8541,2n Cycle,Married,24683.0,1,0,98,5,0,0,41,8,34,9.456536618754278,Average
546,10955,Graduation,Widow,85620.0,0,0,68,1,0,1,1600,14,60,9.546885694729637,Low
547,4368,Graduation,Married,47850.0,1,0,72,6,0,0,134,8,44,10.850102669404517,Low
548,9671,Graduation,Married,19514.0,1,1,47,8,0,1,69,10,56,9.973990417522245,Low
549,2256,Master,Married,27159.0,1,1,33,6,0,0,21,6,51,9.804243668720055,Average
550,4279,2n Cycle,Single,39548.0,1,1,87,3,0,0,54,7,61,9.79876796714579,High
551,5371,Graduation,Single,21474.0,1,0,0,7,0,1,91,8,35,9.453798767967145,Low
552,9240,PhD,Single,60504.0,0,1,73,6,0,0,526,18,53,9.544147843942506,High
553,9460,Graduation,Married,22419.0,0,0,74,8,0,0,162,8,61,10.74880219028063,Low
554,9504,Master,Married,81698.0,0,0,4,1,0,1,1008,25,75,10.600958247775496,High
555,8692,Graduation,Together,43462.0,1,1,50,8,0,0,240,16,72,11.104722792607802,High
556,448,PhD,Single,54880.0,1,0,57,5,0,0,795,21,46,11.0362765229295,Average
557,8314,Graduation,Married,79908.0,0,0,30,2,0,0,1772,19,42,10.704996577686517,High
558,8420,2n Cycle,Married,15315.0,0,0,27,5,0,0,64,8,54,10.861054072553046,Low
559,3174,Graduation,Together,87771.0,0,1,61,6,0,1,1957,20,65,10.655715263518138,Low
560,7685,Graduation,Married,33039.0,1,0,4,5,0,0,78,7,46,10.354551676933607,High
561,3179,Graduation,Single,81741.0,0,0,75,2,0,0,1572,19,44,10.587268993839835,Low
562,9780,Master,Together,71499.0,0,1,12,4,0,0,795,26,53,10.562628336755647,Low
563,10681,2n Cycle,Married,62466.0,0,1,13,4,0,0,889,26,54,10.004106776180699,Low
564,10232,PhD,Divorced,48799.0,0,1,9,3,0,0,331,15,61,10.685831622176591,Low
565,4184,PhD,Together,52157.0,0,1,48,4,0,0,265,12,74,9.533196440793978,Low
566,9120,Graduation,Single,66565.0,0,1,80,8,0,0,1065,19,62,11.682409308692677,High
567,891,Master,Together,29298.0,1,1,60,5,0,0,11,4,73,10.524298425735797,High
568,10381,Graduation,Single,47691.0,0,1,43,6,0,0,21,4,45,10.69678302532512,High
569,3525,Graduation,Together,38200.0,1,1,19,7,0,0,17,4,54,11.515400410677618,Average
570,6818,Graduation,Married,44989.0,0,1,26,6,0,0,369,16,50,11.104722792607802,Low
571,3526,PhD,Married,38443.0,1,1,58,7,0,0,38,6,56,9.971252566735114,Low
572,8181,2n Cycle,Single,38593.0,1,0,42,8,0,0,177,11,46,10.343600273785079,High
573,1029,PhD,Together,64413.0,0,1,27,5,0,0,279,12,54,11.02258726899384,Low
574,7369,Master,Married,36959.0,1,0,56,8,0,0,62,7,43,10.932238193018481,Average
575,2574,PhD,Married,61996.0,0,1,27,5,0,1,1230,21,47,10.959616700889802,Average
576,8159,Graduation,Married,51287.0,1,1,10,7,0,0,182,11,56,10.03422313483915,High
577,1160,Graduation,Married,13260.0,1,1,48,8,0,0,49,10,54,10.401095140314853,Low
578,10242,PhD,Together,47472.0,1,1,39,5,0,0,75,8,58,10.335386721423683,High
579,5253,Master,Together,54603.0,1,1,85,7,0,0,227,16,68,10.360027378507871,High
580,5966,PhD,Married,45207.0,1,1,64,6,0,0,215,15,50,11.266255989048597,Low
581,5314,Graduation,Together,40689.0,0,1,69,8,0,0,444,20,73,10.833675564681725,High
582,5081,2n Cycle,Together,47821.0,1,1,54,8,0,0,47,5,57,10.242299794661191,High
583,5123,Master,Married,27450.0,0,0,57,7,0,0,143,7,73,10.757015742642025,High
584,5756,Graduation,Together,39453.0,1,0,64,6,0,0,55,7,41,9.872689938398358,Low
585,8036,2n Cycle,Together,26850.0,1,1,10,4,0,0,63,11,53,9.749486652977414,Average
586,9058,Graduation,Widow,79800.0,0,0,65,3,0,1,1867,22,69,11.315537303216974,Low
587,5057,Master,Married,61794.0,0,1,74,2,0,0,611,20,63,10.340862422997947,Low
588,254,Graduation,Together,53863.0,0,1,4,7,0,0,473,18,69,9.670088980150581,High
589,4179,Graduation,Together,24221.0,0,0,94,4,0,0,55,6,65,10.40930869267625,Low
590,3710,PhD,Single,39684.0,1,0,41,7,1,1,81,7,40,11.101984941820671,High
591,7627,Master,Married,92163.0,0,0,25,2,0,1,2086,21,49,11.096509240246407,High
592,4501,Master,Single,69882.0,0,0,94,1,0,0,1478,20,59,10.26694045174538,Average
593,6424,Graduation,Together,33178.0,1,0,9,4,0,0,49,5,47,9.963039014373717,High
594,3075,PhD,Married,59973.0,0,0,47,1,0,0,382,15,52,10.18754277891855,Low
595,4992,Master,Together,17459.0,1,0,12,7,0,1,69,9,49,10.327173169062286,High
596,5252,Graduation,Divorced,23910.0,1,0,80,7,0,0,67,6,55,11.225188227241615,High
597,7444,Master,Married,42169.0,1,1,20,8,0,0,30,6,55,10.245037645448322,Low
598,6919,2n Cycle,Married,26224.0,1,0,39,6,0,0,63,9,46,10.781656399726215,Low
599,3537,Graduation,Together,31089.0,1,0,57,8,0,0,79,10,43,11.416837782340862,High
600,10277,Graduation,Single,30081.0,0,1,27,7,0,0,42,5,63,10.902121834360027,Low
601,2453,Graduation,Together,62807.0,0,1,83,5,0,0,819,23,64,11.378507871321013,High
602,7972,Graduation,Single,72906.0,0,0,79,1,0,0,1151,17,69,10.33264887063655,Low
603,895,PhD,Married,61467.0,0,2,69,5,0,0,594,20,76,11.345653661875428,High
604,1177,Master,Together,49618.0,1,1,77,7,0,0,129,11,58,10.973305954825461,Average
605,7141,Master,Single,21888.0,1,0,15,10,0,1,213,12,38,11.049965776865161,High
606,7232,Graduation,Widow,42429.0,0,1,99,5,0,0,67,7,51,9.207392197125257,Average
607,8477,Graduation,Divorced,26150.0,2,1,61,7,0,0,28,5,68,10.203969883641342,High
608,2457,Basic,Married,30801.0,0,1,23,7,0,0,45,6,49,11.225188227241615,Average
609,988,Graduation,Married,81168.0,0,0,84,3,0,0,1193,18,59,9.535934291581109,Average
610,7930,Master,Single,26877.0,0,0,74,6,0,0,268,12,55,10.412046543463381,High
